"state_census_code","state","sector","observations","employment","members","covered","p_members","p_covered","state_abbreviation","year"
93,"California","Priv. Construction",591,710155.402500001,183907.6425,193178.024166667,0.25896817445755,0.272022187709808,"CA",1989
93,"California","Priv. Construction",805,714896.91,174420.940833333,183123.625,0.243980556726456,0.256153881549835,"CA",1990
93,"California","Priv. Construction",637,578049.568333333,138123.700833333,144232.22,0.238947853446007,0.249515309929848,"CA",1991
93,"California","Priv. Construction",563,547074.595833334,125972.305833333,130437.3625,0.230265319347382,0.238427013158798,"CA",1992
93,"California","Priv. Construction",503,517290.515833333,116572.729166667,121412.830833333,0.225352540612221,0.234709173440933,"CA",1993
93,"California","Priv. Construction",496,513437.127458334,114902.561416667,116704.87225,0.223790913820267,0.227301195263863,"CA",1994
93,"California","Priv. Construction",444,488983.055875,108015.630933333,118394.478291667,0.220898509025574,0.242123886942863,"CA",1995
93,"California","Priv. Construction",458,506573.949433333,102367.1237,106889.3795,0.202077358961105,0.211004495620728,"CA",1996
93,"California","Priv. Construction",514,577100.354508333,112938.921825,114959.832366667,0.195700660347939,0.199202492833138,"CA",1997
93,"California","Priv. Construction",573,640649.655458334,126323.874308333,127119.4667,0.197180896997452,0.198422744870186,"CA",1998
93,"California","Priv. Construction",644,723045.822133334,183649.781841667,184430.629733333,0.253994673490524,0.255074620246887,"CA",1999
93,"California","Priv. Construction",670,738760.030833334,176287.756408333,183576.57035,0.238626554608345,0.248492822051048,"CA",2000
93,"California","Priv. Construction",706,831780.765875,178217.386416667,180514.6573,0.214260041713715,0.217021912336349,"CA",2001
93,"California","Priv. Construction",645,788466.3625,159115.25545,161218.257225,0.201803475618362,0.204470679163933,"CA",2002
93,"California","Priv. Construction",652,849683.961816666,170060.306408333,171444.586608333,0.200145363807678,0.201774537563324,"CA",2003
93,"California","Priv. Construction",704,887480.021516668,133903.174916667,144492.947333333,0.150880217552185,0.162812620401382,"CA",2004
93,"California","Priv. Construction",903,1034759.2779,168978.050608333,177840.131141667,0.163301795721054,0.171866193413734,"CA",2005
93,"California","Priv. Construction",948,1007226.508025,175827.741925,181603.932525,0.174566239118576,0.180300980806351,"CA",2006
93,"California","Priv. Construction",971,1082630.81450833,178623.791825,184031.090458333,0.164990499615669,0.169985085725784,"CA",2007
93,"California","Priv. Construction",830,923814.574574999,186993.830841667,196386.350733333,0.202414900064468,0.212582007050514,"CA",2008
93,"California","Priv. Construction",666,734894.049991666,129250.89165,132541.108016667,0.175876900553703,0.180354028940201,"CA",2009
93,"California","Priv. Construction",643,707157.733574999,110716.387366667,116498.155358333,0.156565338373184,0.164741396903992,"CA",2010
93,"California","Priv. Construction",623,686035.037225,115618.964658333,124965.491941667,0.168532162904739,0.182156130671501,"CA",2011
93,"California","Priv. Construction",677,746875.267383334,119014.599291667,122448.939075,0.159350037574768,0.163948312401772,"CA",2012
93,"California","Priv. Construction",691,761853.854125001,125654.591141667,133585.620558333,0.164932668209076,0.175342842936516,"CA",2013
93,"California","Priv. Construction",710,791562.68025,129276.693075,135612.210558333,0.163318321108818,0.171322137117386,"CA",2014
93,"California","Priv. Construction",705,820015.368208333,148362.152625,155870.947375,0.180926069617271,0.19008295238018,"CA",2015
93,"California","Priv. Construction",720,857489.093716665,158005.665616667,168410.841991667,0.18426550924778,0.196399986743927,"CA",2016
93,"California","Priv. Construction",732,882268.994008334,157804.977275,166786.637258333,0.178862661123276,0.189042836427689,"CA",2017
93,"California","Priv. Construction",730,905201.482391667,143733.52695,153439.29485,0.158786222338676,0.169508442282677,"CA",2018
93,"California","Priv. Construction",769,984491.330691667,182621.409158333,188842.348908333,0.185498237609863,0.191817179322243,"CA",2019
93,"California","Priv. Construction",693,986292.283366666,180929.082733333,195956.361133333,0.183443680405617,0.198679804801941,"CA",2020
93,"California","Priv. Construction",701,983644.846133333,145231.449141667,160330.037208333,0.147646218538284,0.162995859980583,"CA",2021
93,"California","Priv. Construction",690,1043377.99505,158714.0443,169672.780991667,0.152115568518639,0.162618711590767,"CA",2022
93,"California","Priv. Manufacturing",3170,2013168.0475,421889.4125,472105.813333334,0.209564924240112,0.234508901834488,"CA",1983
93,"California","Priv. Manufacturing",3320,2155440.545,430660.544166667,471806.7125,0.19980163872242,0.218891084194183,"CA",1984
93,"California","Priv. Manufacturing",3158,2196503.14916666,408080.115833333,458090.5475,0.185786262154579,0.208554461598396,"CA",1985
93,"California","Priv. Manufacturing",2978,2328025.045,440893.6425,481668.924166667,0.189385265111923,0.206900238990784,"CA",1986
93,"California","Priv. Manufacturing",2870,2315343.43333333,407912.536666666,450525.954999999,0.176177978515625,0.194582775235176,"CA",1987
93,"California","Priv. Manufacturing",1855,2321150.48583334,361383.843333333,395718.833333333,0.155691683292389,0.17048391699791,"CA",1988
93,"California","Priv. Manufacturing",1950,2238972.04416666,406812.1975,446083.415833334,0.181695967912674,0.199235811829567,"CA",1989
93,"California","Priv. Manufacturing",2823,2364795.14083333,367411.69,412688.085,0.155367240309715,0.174513250589371,"CA",1990
93,"California","Priv. Manufacturing",2693,2258540.34666667,322211.116666667,351219.839166667,0.142663434147835,0.155507445335388,"CA",1991
93,"California","Priv. Manufacturing",2431,2164969.9425,288721.621666666,322825.1675,0.13336056470871,0.14911299943924,"CA",1992
93,"California","Priv. Manufacturing",2179,2018950.04833333,231893.510833333,252483.343333333,0.114858470857143,0.125056758522987,"CA",1993
